id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1.31e+18,2020-10-07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Check out our new short Commentary on #ethical, #legal and #socioeconomic implications of prioritizing #Biologicals… https://t.co/9NKiWAmQ6g",en,0.0,29722.0,TiMinCeBIL,"ethical, legal, socioeconomic, Biologicals",,Lund,"Check Ġout Ġour Ġnew Ġshort ĠCommentary Ġon Ġ# ethical , Ġ# legal Ġand Ġ# soc io economic Ġimplications Ġof Ġpriorit izing Ġ# B iological s âĢ¦ Ġhttps :// t . co / 9 NK i W Am Q 6 g",0.0,0.0,1.0,0.0,neu,"['Check Ġout Ġour Ġnew Ġshort ĠCommentary Ġon Ġ# ethical , Ġ# legal Ġand Ġ# soc io economic Ġimplications Ġof Ġpriorit izing Ġ# B iological s âĢ¦ Ġhttps :// t . co / 9 NK i W Am Q 6 g', ('vaccine', 0.43166545033454895), ('infection', 0.35700446367263794), ('death', 0.21133007109165192)]"
1.31e+18,2020-10-07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @abati1990: COVID-19: Nigerian Scientists Develop Faster, Cheaper Test Kits https://t.co/wZKAmnSGvM",en,0.0,85.0,abati1990,,abati1990,Nigeria ,"RT Ġ@ ab ati 1990 : ĠCO VID - 19 : ĠNigerian ĠScientists ĠDevelop ĠFaster , ĠChe aper ĠTest ĠKits Ġhttps :// t . co / w Z K Am n SG v M",0.0,0.0,1.0,0.0,neu,"['RT Ġ@ ab ati 1990 : ĠCO VID - 19 : ĠNigerian ĠScientists ĠDevelop ĠFaster , ĠChe aper ĠTest ĠKits Ġhttps :// t . co / w Z K Am n SG v M', ('vaccine', 0.44073542952537537), ('infection', 0.36582764983177185), ('death', 0.1934369057416916)]"
1.3e+18,2020-08-31,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@TheTweetest @ThiersGrl @washingtonpost “Stop Trying To Make ‘Herd Immunity’ Happen: Sweden’s Attempt At Covid-19 H… https://t.co/GcnND9FyNa,en,0.0,108.0,deblync76,,"TheTweetest, ThiersGrl, washingtonpost",#VoteBlue #DemocratForLife,@ The Tweet est Ġ@ Th iers Gr l Ġ@ w ashington post ĠâĢ ľ Stop ĠTrying ĠTo ĠMake ĠâĢ ĺ Her d ĠImmunity âĢ Ļ ĠHapp en : ĠSweden âĢ Ļ s ĠAttempt ĠAt ĠCov id - 19 ĠH âĢ¦ Ġhttps :// t . co / G cn ND 9 F y Na,-0.296,0.216,0.784,0.0,neg,"['@ The Tweet est Ġ@ Th iers Gr l Ġ@ w ashington post ĠâĢ ľ Stop ĠTrying ĠTo ĠMake ĠâĢ ĺ Her d ĠImmunity âĢ Ļ ĠHapp en : ĠSweden âĢ Ļ s ĠAttempt ĠAt ĠCov id - 19 ĠH âĢ¦ Ġhttps :// t . co / G cn ND 9 F y Na', ('vaccine', 0.6215149760246277), ('infection', 0.2736347019672394), ('death', 0.10485034435987473)]"
1.31e+18,2020-09-30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",So why are there practically no deaths from #Covid now and why then are we still destroying our economies. https://t.co/cX2XBfugfA,en,0.0,326.0,YourService_Sir,Covid,,,So Ġwhy Ġare Ġthere Ġpractically Ġno Ġdeaths Ġfrom Ġ# C ov id Ġnow Ġand Ġwhy Ġthen Ġare Ġwe Ġstill Ġdestroying Ġour Ġeconomies . Ġhttps :// t . co / c X 2 X B f ug f A,-0.8126,0.712,0.288,0.0,neg,"['So Ġwhy Ġare Ġthere Ġpractically Ġno Ġdeaths Ġfrom Ġ# C ov id Ġnow Ġand Ġwhy Ġthen Ġare Ġwe Ġstill Ġdestroying Ġour Ġeconomies . Ġhttps :// t . co / c X 2 X B f ug f A', ('death', 0.9499081373214722), ('infection', 0.035089682787656784), ('vaccine', 0.015002206899225712)]"
1.31e+18,2020-09-24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GeorgiaLogCabin: China, WHO failed to prevent Wuhan corona virus pandemic https://t.co/M3Bk3c9t4O",en,0.0,3.0,McHughFox,,GeorgiaLogCabin,fly-over country,"RT Ġ@ Georgia Log C abin : ĠChina , ĠWHO Ġfailed Ġto Ġprevent ĠW uh an Ġcor ona Ġvirus Ġpand emic Ġhttps :// t . co / M 3 B k 3 c 9 t 4 O",-0.5267,0.365,0.521,0.115,neg,"['RT Ġ@ Georgia Log C abin : ĠChina , ĠWHO Ġfailed Ġto Ġprevent ĠW uh an Ġcor ona Ġvirus Ġpand emic Ġhttps :// t . co / M 3 B k 3 c 9 t 4 O', ('infection', 0.8949692845344543), ('death', 0.06927845627069473), ('vaccine', 0.03575220704078674)]"
1.32e+18,2020-10-12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@stevethomas100 In today’s news: “In China, Qingdao's population of nine million will be tested for Covid-19 over f… https://t.co/cPVEpfukuk",en,0.0,731.0,cpb1980,,stevethomas100,,"@ ste ve th omas 100 ĠIn Ġtoday âĢ Ļ s Ġnews : ĠâĢ ľ In ĠChina , ĠQing d ao 's Ġpopulation Ġof Ġnine Ġmillion Ġwill Ġbe Ġtested Ġfor ĠCov id - 19 Ġover Ġf âĢ¦ Ġhttps :// t . co / c P VE p f uk uk",0.0,0.0,1.0,0.0,neu,"[""@ ste ve th omas 100 ĠIn Ġtoday âĢ Ļ s Ġnews : ĠâĢ ľ In ĠChina , ĠQing d ao 's Ġpopulation Ġof Ġnine Ġmillion Ġwill Ġbe Ġtested Ġfor ĠCov id - 19 Ġover Ġf âĢ¦ Ġhttps :// t . co / c P VE p f uk uk"", ('vaccine', 0.5451604723930359), ('infection', 0.2618260681629181), ('death', 0.1930134892463684)]"
1.31e+18,2020-10-06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Rise To The Challenge -  COVID-19 triggered the Department of Homeland Security to quickly implement procedures on… https://t.co/KzGVybUqfp,en,0.0,304.0,Motion_Servo,,,"Victor, NY",R ise ĠTo ĠThe ĠChallenge Ġ- Ġ ĠCO VID - 19 Ġtriggered Ġthe ĠDepartment Ġof ĠHomeland ĠSecurity Ġto Ġquickly Ġimplement Ġprocedures Ġon âĢ¦ Ġhttps :// t . co / K z GV y b U q fp,0.0,0.0,1.0,0.0,neu,"['R ise ĠTo ĠThe ĠChallenge Ġ- Ġ ĠCO VID - 19 Ġtriggered Ġthe ĠDepartment Ġof ĠHomeland ĠSecurity Ġto Ġquickly Ġimplement Ġprocedures Ġon âĢ¦ Ġhttps :// t . co / K z GV y b U q fp', ('vaccine', 0.4525700807571411), ('infection', 0.3457796573638916), ('death', 0.20165032148361206)]"
1.31e+18,2020-10-01,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @FardusMDheere: Girls are talking about how they overcome the challenges they face in education during the COVID-19 pandemic. https://t.…,en,2.0,0.0,Yetbarekt1,,FardusMDheere,,RT Ġ@ F ard us MD he ere : ĠGirls Ġare Ġtalking Ġabout Ġhow Ġthey Ġovercome Ġthe Ġchallenges Ġthey Ġface Ġin Ġeducation Ġduring Ġthe ĠCO VID - 19 Ġpand emic . Ġhttps :// t . âĢ¦,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ F ard us MD he ere : ĠGirls Ġare Ġtalking Ġabout Ġhow Ġthey Ġovercome Ġthe Ġchallenges Ġthey Ġface Ġin Ġeducation Ġduring Ġthe ĠCO VID - 19 Ġpand emic . Ġhttps :// t . âĢ¦', ('vaccine', 0.8264080286026001), ('infection', 0.14189551770687103), ('death', 0.031696438789367676)]"
1.3e+18,2020-08-29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @wef: A 15-minute test for COVID-19 has just been approved https://t.co/OYMSSP7iHU #COVID19 #Innovation https://t.co/H6SZLdXewf,en,0.0,129.0,jjcano8,"COVID19, Innovation",wef,"prop del mar
",RT Ġ@ we f : ĠA Ġ15 - minute Ġtest Ġfor ĠCO VID - 19 Ġhas Ġjust Ġbeen Ġapproved Ġhttps :// t . co / OY MS SP 7 i H U Ġ# CO VID 19 Ġ# In n ovation Ġhttps :// t . co / H 6 S Z L d X ew f,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ we f : ĠA Ġ15 - minute Ġtest Ġfor ĠCO VID - 19 Ġhas Ġjust Ġbeen Ġapproved Ġhttps :// t . co / OY MS SP 7 i H U Ġ# CO VID 19 Ġ# In n ovation Ġhttps :// t . co / H 6 S Z L d X ew f', ('vaccine', 0.5113393068313599), ('infection', 0.3309573531150818), ('death', 0.15770334005355835)]"
1.31e+18,2020-10-03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @shomaristone: BREAKING Former NJ Gov. Chris Christie Tests Positive for COVID-19. His positive result follows that of Kellyanne Conway,…",en,0.0,1028.0,Ambeethatsme,,shomaristone,Where the wild things are,"RT Ġ@ sh om arist one : ĠBRE AKING ĠFormer ĠNJ ĠGov . ĠChris ĠChristie ĠTests ĠPositive Ġfor ĠCO VID - 19 . ĠHis Ġpositive Ġresult Ġfollows Ġthat Ġof ĠKell yan ne ĠConway , âĢ¦",0.0,0.0,1.0,0.0,neu,"['RT Ġ@ sh om arist one : ĠBRE AKING ĠFormer ĠNJ ĠGov . ĠChris ĠChristie ĠTests ĠPositive Ġfor ĠCO VID - 19 . ĠHis Ġpositive Ġresult Ġfollows Ġthat Ġof ĠKell yan ne ĠConway , âĢ¦', ('vaccine', 0.46167370676994324), ('infection', 0.37020137906074524), ('death', 0.1681249886751175)]"
