Country,Date,Amount_of_Deaths,Cumulative_Deaths,Percentage_Error,isTrue
Pakistan,2020-09-22,6424.0,6415,0.14009962640099627,True
US,2020-09-17,201341.0,203817,1.229754496103625,True
MX,2020-09-30,100000.0,95061,4.939,True
South Africa,2020-09-06,14889.0,17265,15.958089865001007,False
US,2020-09-27,304226.0,208593,31.434854351699066,False
KW,2020-10-17,2903.0,694,76.09369617636928,False
Iraq,2020-09-06,53402.0,7422,86.10164413317854,False
MS,2020-09-22,8.0,1,87.5,False
Georgia,2020-10-17,7607.0,136,98.21217299855395,False
BS,2020-10-08,210000.0,106,99.94952380952381,False
JO,2020-10-17,1106705.0,330,99.97018175575244,False
FO,2020-09-24,2.0,0,100.0,False
Ghana,2020-09-06,603.0,0,100.0,False
Jamaica,2020-10-06,39.0,119,205.1282051282051,False
India,2020-09-28,26660.0,94503,254.4748687171793,False
CV,2020-10-17,12.0,85,608.3333333333333,False
Qatar,2020-10-16,16.0,223,1293.75,False
AM,2020-10-20,38.0,1081,2744.736842105263,False
US,2020-09-22,6665.0,203817,2958.0195048762193,False
Iran (Islamic Republic of),2020-09-29,444.0,25394,5619.369369369369,False
Ethiopia,2020-09-25,20.0,1166,5730.0,False
CD,2020-08-31,7.0,445,6257.142857142857,False
DZ,2020-10-01,24.0,1756,7216.666666666667,False
US,2020-09-01,2020.0,187959,9204.90099009901,False
Germany,2020-09-28,100.0,9838,9738.0,False
India,2020-10-16,706.0,114031,16051.699716713882,False
GB,2020-10-20,241.0,60354,24943.153526970953,False
GB,2020-10-13,143.0,59444,41469.230769230766,False
CO,2020-10-09,18.0,27495,152650.0,False
India,2020-10-17,24.0,114031,475029.1666666667,False
GB,2020-09-30,9.0,58444,649277.7777777778,False
United Kingdom of Great Britain and Northern Ireland,2020-09-27,8.0,58444,730450.0,False
United Kingdom of Great Britain and Northern Ireland,2020-09-27,7.0,58444,834814.2857142857,False
GB,2020-09-27,6.0,58444,973966.6666666666,False
United States of America,2020-09-19,20.0,203817,1018985.0,False
United Kingdom of Great Britain and Northern Ireland,2020-09-20,5.0,58178,1163460.0,False
US,2020-09-01,5.0,187959,3759080.0000000005,False
US,2020-10-01,1.0,213280,21327900.0,False
